"","actor_id","target_case","case","case_code","ascribed_power_norm","ascribed_power","bet","bet_norm","triangle_count_pos_norm","triangle_count_norm","triangle_count","triangle_count_pos","ego_inclusion","deg","deg_pos","deg_norm","type","type_reduced","all_na","achievement","top_target","bet_log","triangle_count_log","deg_log","ascribed_power_log","bet_zero","triangle_count_zero","ascribed_power_zero"
"340","actor 340","Erholungswert_NE","Neuenburgersee","NE",46.375,11,1.08571428571429,1.0899118720874,9.92622950819672,25.5,49,11,3,11,11,9.92622950819672,"Municipality","Municipality","no",NA,"Erholungswert",0.086096841676448,3.23867845216438,2.39789527279837,3.8367605209276,"abovezero","abovezero","abovezero"
"341","actor 341","Biodiversitat_NE","Neuenburgersee","NE",100,24,1195.45630393759,100,100,100,198,122,4,122,122,100,"NGO_organization_association","NGO_organization_association","no",3,"Biodiversitat",4.60517018598809,4.60517018598809,4.80402104473326,4.60517018598809,"abovezero","abovezero","abovezero"
"342","actor 342","Erholungswert_NE","Neuenburgersee","NE",13.375,3,4.62633477633478,1.38312328217147,8.30327868852459,7,12,9,3,9,9,8.30327868852459,"Other","Other","no",2,"Erholungswert",0.324344189831601,1.94591014905531,2.19722457733622,2.59338729278207,"abovezero","abovezero","abovezero"
"343","actor 343","Biodiversitat_NE","Neuenburgersee","NE",62.875,15,5.09386724386724,1.42184131321389,8.30327868852459,25.5,49,9,4,9,9,8.30327868852459,"Canton_FR","higher_admin","no",2,"Biodiversitat",0.351952731070907,3.23867845216438,2.19722457733622,4.1411486284199,"abovezero","abovezero","abovezero"
"344","actor 344","Biodiversitat_NE","Neuenburgersee","NE",9.25,2,0.333333333333333,1.0276045221321,1,12.5,23,0,NA,0,0,1,"Other","Other","yes",NA,"Biodiversitat",0.0272303869174166,2.52572864430826,-Inf,2.22462355152433,"abovezero","abovezero","abovezero"
"345","actor 345","Biodiversitat_NE","Neuenburgersee","NE",13.375,3,0.333333333333333,1.0276045221321,13.172131147541,15,28,15,2,15,15,13.172131147541,"Other","Other","no",2,"Biodiversitat",0.0272303869174166,2.70805020110221,2.70805020110221,2.59338729278207,"abovezero","abovezero","abovezero"
"346","actor 346","Biodiversitat_NE","Neuenburgersee","NE",17.5,4,82.4096839934162,7.82463983708611,5.05737704918033,5.5,9,5,2,5,5,5.05737704918033,"Other","Other","yes",NA,"Biodiversitat",2.05727770815749,1.70474809223843,1.6094379124341,2.86220088092947,"abovezero","abovezero","abovezero"
"347","actor 347","Biodiversitat_NE","Neuenburgersee","NE",79.375,19,231.885049298234,20.2032279263664,49.6885245901639,46,90,60,4,60,60,49.6885245901639,"Canton_VD","higher_admin","no",3,"Biodiversitat",3.00584238997574,3.8286413964891,4.0943445622221,4.37418345721286,"abovezero","abovezero","abovezero"
"348","actor 348","Biodiversitat_NE","Neuenburgersee","NE",13.375,3,1.23196063196063,1.10202305359249,4.24590163934426,9.5,17,4,1,4,4,4.24590163934426,"Other","Other","yes",2,"Biodiversitat",0.0971476302873047,2.2512917986065,1.38629436111989,2.59338729278207,"abovezero","abovezero","abovezero"
"349","actor 349","Biodiversitat_NE","Neuenburgersee","NE",62.875,15,306.175272963457,26.3554662964617,48.8770491803279,43.5,85,59,3,59,59,48.8770491803279,"NGO_organization_association","NGO_organization_association","no",2,"Biodiversitat",3.27167570305377,3.77276093809464,4.07753744390572,4.1411486284199,"abovezero","abovezero","abovezero"
